BIZ_UNIT	PD_S_C	PD_S_NM	PD_M_NM	PD_H_NM
A04	0054	기능성우유(중)	기능성우유	유음료
A04	0055	기능성우유(대)	기능성우유	유음료
A04	0056	컵커피우유	가공우유	유음료
A04	0057	커피우유	가공우유	유음료
A04	0058	바나나우유	가공우유	유음료
A04	0059	딸기우유	가공우유	유음료
A04	0060	초코우유	가공우유	유음료
A04	0061	기타	가공우유	유음료
A04	0062	드링킹요구르트	요구르트	유음료
A04	0063	기능성요구르트	요구르트	유음료
A04	0064	떠먹는요구르트	요구르트	유음료
A04	0065	프리미엄요구르트	요구르트	유음료
A04	0066	병두유	두유	유음료
A04	0067	팩두유	두유	유음료
A04	0068	두유선물세트	두유	유음료
A04	0069	냉장주스(소)	냉장주스	유음료
A04	0070	냉장주스(중)	냉장주스	유음료
A04	0071	냉장주스(대)	냉장주스	유음료
A04	0072	유산균음료	냉장주스	유음료
A04	0073	버터	유제품	유음료
A04	0074	치즈	유제품	유음료
A04	0075	소시지	육가공	냉장
A04	0076	햄	육가공	냉장
A04	0077	소형바	육가공	냉장
A04	0078	치킨	육가공	냉장
A04	0079	족발	육가공	냉장
A04	0080	기타	육가공	냉장
A04	0081	김치	반찬	냉장
A04	0082	맛살	반찬	냉장
A04	0083	젓갈	반찬	냉장
A04	0084	어묵	반찬	냉장
A04	0085	조림반찬	반찬	냉장
A04	0086	기타	반찬	냉장
A04	0087	냉장면	냉장식품	냉장
A04	0088	냉장죽	냉장식품	냉장
A04	0089	삶은계란	냉장식품	냉장
A04	0090	기타	냉장식품	냉장
A04	0091	가정간편식	냉장식품	냉장
A04	0092	일반란	(구)1차식품	냉장
A04	0093	과일	(구)과일야채	냉장
A04	0094	천연발효빵	간식빵	빵
A04	0095	페스트리	간식빵	빵
A04	0096	샌드빵	간식빵	빵
A04	0097	캐릭터빵	간식빵	빵
A04	0098	과자빵	간식빵	빵
A04	0099	조리빵	간식빵	빵
A04	0100	도너츠	간식빵	빵
A04	0101	간식용케익	간식빵	빵
A04	0102	식빵	식빵	빵
A04	0103	호빵	호빵	빵
A04	0104	만두	호빵	빵
A04	0105	구운과자	화과자	빵
A04	0106	케익	케익	빵
A04	0107	기타	케익	빵
A04	0108	후레쉬빵	프리미엄	빵
A04	0109	베이커리	프리미엄	빵
A04	0110	두부	1차식품	신선
A04	0111	콩나물	1차식품	신선
A04	0112	일반란	1차식품	신선
A04	0113	과일	과일야채	신선
A04	0114	야채	과일야채	신선
A04	0115	선물세트	과일야채	신선
A04	0116	견과류	과일야채	신선
A04	0117	10kg미만	곡물	신선
A04	0118	10kg이상	곡물	신선
A04	0119	축산	수축산	신선
A04	0120	HOT	편의점카페	원두커피
A04	0121	ICE	편의점카페	원두커피
A04	0122	HOT	신컨셉	원두커피
A04	0123	HOT	기타	원두커피
A04	0124	크래커	비스킷류	과자
A04	0125	쿠키	비스킷류	과자
A04	0126	파이	비스킷류	과자
A04	0127	스틱과자	비스킷류	과자
A04	0128	기타	비스킷류	과자
A04	0129	알뜰절약상품	비스킷류	과자
A04	0130	행사상품	비스킷류	과자
A04	0131	감자스낵	스낵류	과자
A04	0132	일반스낵	스낵류	과자
A04	0133	옥수수스낵	스낵류	과자
A04	0134	전통스낵	스낵류	과자
A04	0135	기타(수입과자)	스낵류	과자
A04	0136	알뜰절약상품	스낵류	과자
A04	0137	기능성캔디	캔디류	과자
A04	0138	과일향캔디	캔디류	과자
A04	0139	봉지캔디	캔디류	과자
A04	0140	카라멜/젤리	캔디류	과자
A04	0141	토이캔디	캔디류	과자
A04	0142	행사상품	캔디류	과자
A04	0143	타블렛캔디	캔디류	과자
A04	0144	판쵸코렛	쵸코렛	과자
A04	0145	바쵸코렛	쵸코렛	과자
A04	0146	봉지쵸코렛	쵸코렛	과자
A04	0147	볼쵸코렛	쵸코렛	과자
A04	0148	행사상품	쵸코렛	과자
A04	0149	어린이초코렛	쵸코렛	과자
A04	0150	스틱껌	껌	과자
A04	0151	케이스껌	껌	과자
A04	0152	용기껌	껌	과자
A04	0153	풍선껌	껌	과자
A04	0154	어린이껌	껌	과자
A04	0155	영양바	간편영양식품	과자
A04	0156	영양식품(비타민)	간편영양식품	과자
A04	0157	씨리얼	간편영양식품	과자
A04	0158	환자식	간편영양식품	과자
A04	0159	믹스커피	커피	커피/차
A04	0160	원두커피	커피	커피/차
A04	0161	커피분말/커피크림	커피	커피/차
A04	0162	코코아	커피	커피/차
A04	0163	믹스커피	원컵	커피/차
A04	0164	원두커피	원컵	커피/차
A04	0165	코코아	원컵	커피/차
A04	0166	국산차	원컵	커피/차
A04	0167	국산차	차	커피/차
A04	0168	녹차류	차	커피/차
A04	0169	곡물차	차	커피/차
A04	0170	홍차류	차	커피/차
A04	0171	기타차	차	커피/차
A04	0172	쨈	쨈/꿀	커피/차
A04	0173	꿀	쨈/꿀	커피/차
A04	0174	일반선물세트	선물세트	커피/차
A04	0175	택배선물세트	선물세트	커피/차
A04	0176	음료	건강기능식품	커피/차
A04	0177	정제형	건강기능식품	커피/차
A04	0178	기타	건강기능식품	커피/차
A04	0179	라면	봉지면	면
A04	0180	비빔면	봉지면	면
A04	0181	우동	봉지면	면
A04	0182	라면(대형컵)	용기면	면
A04	0183	라면(소형컵)	용기면	면
A04	0184	비빔면	용기면	면
A04	0185	우동	용기면	면
A04	0186	기타	기타	면
A04	0187	즉석밥	가공미반류	가공식품
A04	0188	즉석덮밥	가공미반류	가공식품
A04	0189	죽	가공미반류	가공식품
A04	0190	즉석컵밥	가공미반류	가공식품
A04	0191	덮밥 소스류	레토르트	가공식품
A04	0192	레토르트 간식	레토르트	가공식품
A04	0193	레토르트 면	레토르트	가공식품
A04	0194	기타	레토르트	가공식품
A04	0195	국	국／스프	가공식품
A04	0196	스프	국／스프	가공식품
A04	0197	참치캔	캔	가공식품
A04	0198	수산캔	캔	가공식품
A04	0199	농산캔	캔	가공식품
A04	0200	육가공캔	캔	가공식품
A04	0201	기타캔	캔	가공식품
A04	0202	면	가공면류	가공식품
A04	0203	기타	기타	가공식품
A04	0204	선물세트	선물세트	가공식품
A04	0205	해산건물	건해산물	조미료/건물
A04	0206	간장	장류	조미료/건물
A04	0207	장	장류	조미료/건물
A04	0208	홍초	소스류	조미료/건물
A04	0209	식초	소스류	조미료/건물
A04	0210	소스	소스류	조미료/건물
A04	0211	참기름	식용유지	조미료/건물
A04	0212	식용유	식용유지	조미료/건물
A04	0213	미원	조미료	조미료/건물
A04	0214	소금	조미료	조미료/건물
A04	0215	설탕	조미료	조미료/건물
A04	0216	밀가루	분말가루	조미료/건물
A04	0217	조미세트	선물세트	조미료/건물
A04	0218	건물세트	선물세트	조미료/건물
A04	0219	오징어(소)	오징어	안주
A04	0220	오징어(중)	오징어	안주
A04	0221	대용량	오징어	안주
A04	0224	쥐포	생선류	안주
A04	0225	어육	생선류	안주
A04	0226	대용량	생선류	안주
A04	0227	기타생선	생선류	안주
A04	0228	육포	육포	안주
A04	0229	대용량	육포	안주
A04	0230	캔너트	너트류	안주
A04	0231	봉지너트	너트류	안주
A04	0232	일반스틱	기타	안주
A04	0233	기타	기타	안주
A04	0234	과일	농산안주	안주
A04	0235	농산물	농산안주	안주
A04	0236	일반스낵	스낵안주	안주
A04	0237	김스낵	스낵안주	안주
A04	0238	캔안주	캔안주	안주
A04	0239	병맥주(소)	병맥주	맥주
A04	0240	병맥주(중)	병맥주	맥주
A04	0241	병맥주(대)	병맥주	맥주
A04	0242	캔맥주(소)	캔맥주	맥주
A04	0243	캔맥주(중)	캔맥주	맥주
A04	0244	수입맥주(병)	수입맥주	맥주
A04	0245	수입맥주(캔)	수입맥주	맥주
A04	0246	생맥주500ML	생맥주	맥주
A04	0247	병소주	소주	전통주
A04	0248	팩소주	소주	전통주
A04	0249	PET소주	소주	전통주
A04	0250	탁주	곡주	전통주
A04	0251	청주	곡주	전통주
A04	0252	약주	곡주	전통주
A04	0253	과실주	곡주	전통주
A04	0254	일반선물세트	선물세트	전통주
A04	0255	위스키	양주	양주와인
A04	0256	기타양주	양주	양주와인
A04	0257	레드	와인	양주와인
A04	0258	화이트	와인	양주와인
A04	0259	샴페인	와인	양주와인
A04	0260	소품	와인	양주와인
A04	0261	리쿼	리쿼	양주와인
A04	0262	일반선물세트	선물세트	양주와인
A04	0263	콜라(소)	탄산음료	음료
A04	0264	콜라(중)	탄산음료	음료
A04	0265	콜라(대)	탄산음료	음료
A04	0266	사이다(소)	탄산음료	음료
A04	0267	사이다(중)	탄산음료	음료
A04	0268	사이다(대)	탄산음료	음료
A04	0269	과일향탄산(소)	탄산음료	음료
A04	0270	과일향탄산(중)	탄산음료	음료
A04	0271	과일향탄산(대)	탄산음료	음료
A04	0272	캔커피(소)	커피음료	음료
A04	0273	캔커피(NB)	커피음료	음료
A04	0274	병커피	커피음료	음료
A04	0275	기타	커피음료	음료
A04	0276	옥수수차	차음료	음료
A04	0277	보리차	차음료	음료
A04	0278	녹차	차음료	음료
A04	0279	홍차	차음료	음료
A04	0280	기타차	차음료	음료
A04	0281	전통음료(소)	전통음료	음료
A04	0282	전통음료(중)	전통음료	음료
A04	0283	전통음료(대)	전통음료	음료
A04	0284	주스(소병)	주스	음료
A04	0285	주스(소캔)	주스	음료
A04	0286	주스(중)	주스	음료
A04	0287	주스(대)	주스	음료
A04	0288	500ml이하	생수	음료
A04	0289	1000ml이상	생수	음료
A04	0290	프리미엄생수	생수	음료
A04	0291	스포츠음료(소)	스포츠음료	음료
A04	0292	스포츠음료(중)	스포츠음료	음료
A04	0293	스포츠음료(대)	스포츠음료	음료
A04	0294	차음료선물세트	선물세트	음료
A04	0295	주스선물세트	선물세트	음료
A04	0296	숙취해소음료	기능성드링크	음료
A04	0297	비타민음료	기능성드링크	음료
A04	0298	건강음료	기능성드링크	음료
A04	0299	홍삼음료	기능성드링크	음료
A04	0300	보건드링크	기능성드링크	음료
A04	0301	선물세트	기능성드링크	음료
A04	0302	에너지음료	기능성드링크	음료
A04	0303	바	노벨티	아이스크림
A04	0304	콘	노벨티	아이스크림
A04	0305	컵	노벨티	아이스크림
A04	0306	모나카	노벨티	아이스크림
A04	0307	펜슬	노벨티	아이스크림
A04	0308	기타	노벨티	아이스크림
A04	0309	카톤	홈타입	아이스크림
A04	0310	멀티	홈타입	아이스크림
A04	0311	바	고급	아이스크림
A04	0312	컵	고급	아이스크림
A04	0313	파인트	고급	아이스크림
A04	0314	케익	고급	아이스크림
A04	0315	구슬아이스	고급	아이스크림
A04	0316	봉지만두	냉동만두	냉동
A04	0317	트레이만두	냉동만두	냉동
A04	0318	냉동면	냉동면밥류	냉동
A04	0319	냉동밥	냉동면밥류	냉동
A04	0320	냉동간식류	냉동면밥류	냉동
A04	0321	냉동육류	냉동기타	냉동
A04	0322	냉동얼음	냉동기타	냉동
A04	0323	선물세트	냉동기타	냉동
A04	0324	KT&G	국산담배	담배
A04	0325	BAT	외산담배	담배
A04	0326	PMI	외산담배	담배
A04	0327	JTI	외산담배	담배
A04	0328	시가	외산담배	담배
A04	0329	직수입	외산담배	담배
A04	0330	복권	일반서비스	서비스 상품
A04	0331	교통카드판매	일반서비스	서비스 상품
A04	0332	MVNO	일반서비스	서비스 상품
A04	0333	문화상품권	유가증권	서비스 상품
A04	0334	쓰레기봉투	쓰레기봉투	서비스 상품
A04	0335	카네이션	기타	서비스 상품
A04	0336	여성지	잡지	서적/음반
A04	0337	시사/교양지	잡지	서적/음반
A04	0338	퍼즐지	잡지	서적/음반
A04	0339	성인지	잡지	서적/음반
A04	0340	아동	단행본	서적/음반
A03	0171	삼치	선어류	수산
A04	0342	유아용서적(직배)	특수점서적	서적/음반
A04	0343	종합일간지	일간신문	신문
A04	0344	스포츠지	일간신문	신문
A04	0345	경제지	일간신문	신문
A04	0346	영자신문	일간신문	신문
A04	0347	일요신문	주간신문	신문
A04	0348	경마지	경마지	신문
A04	0349	미용 소도구	미용소품	미용/화장품
A04	0350	액세서리	미용소품	미용/화장품
A04	0351	기타소품	미용소품	미용/화장품
A04	0352	무스	헤어스타일링	미용/화장품
A04	0353	스프레이	헤어스타일링	미용/화장품
A04	0354	젤	헤어스타일링	미용/화장품
A04	0355	왁스	헤어스타일링	미용/화장품
A04	0356	케어/염모제	헤어스타일링	미용/화장품
A04	0357	기초화장품	여성화장품	미용/화장품
A04	0358	크림	여성화장품	미용/화장품
A04	0359	클렌징	여성화장품	미용/화장품
A04	0360	바디용품	여성화장품	미용/화장품
A04	0361	색조/메이크업	여성화장품	미용/화장품
A04	0362	립케어	여성화장품	미용/화장품
A04	0363	시즌 화장품	여성화장품	미용/화장품
A04	0364	기초화장품	남성화장품	미용/화장품
A04	0365	클렌징	남성화장품	미용/화장품
A04	0366	일반치약	치약	H&B
A04	0367	액상치약	치약	H&B
A04	0368	어린이용	치약	H&B
A04	0369	일반모	칫솔	H&B
A04	0370	미세모	칫솔	H&B
A04	0371	어린이용칫솔	칫솔	H&B
A04	0372	치실/치간칫솔	칫솔	H&B
A04	0373	칫솔치약세트	치약칫솔세트	H&B
A04	0374	샴푸	샴푸/린스	H&B
A04	0375	린스	샴푸/린스	H&B
A04	0376	고형비누	화장비누/바디클렌저	H&B
A04	0377	액체비누	화장비누/바디클렌저	H&B
A04	0378	바디클렌저	화장비누/바디클렌저	H&B
A04	0379	여행용상품	여행용상품	H&B
A04	0380	소용량상품	여행용상품	H&B
A04	0381	면도기	면도용품	H&B
A04	0382	면도날	면도용품	H&B
A04	0383	일회용면도기	면도용품	H&B
A04	0384	쉐이빙폼	면도용품	H&B
A04	0385	일반선물세트	선물세트	H&B
A04	0386	에어졸	살충제	가정용품
A04	0387	매트/훈증기	살충제	가정용품
A04	0388	모기향	살충제	가정용품
A04	0389	방충제	살충제	가정용품
A04	0390	기피제	살충제	가정용품
A04	0391	방향제	방향제	가정용품
A04	0392	탈취제	방향제	가정용품
A04	0393	세탁세제	세제류	가정용품
A04	0394	주방세제	세제류	가정용품
A04	0395	청소세제	세제류	가정용품
A04	0396	섬유유연제	세제류	가정용품
A04	0397	표백제	세제류	가정용품
A04	0398	수세미/행주류	주방용품	가정용품
A04	0399	조리기구/소모품	주방용품	가정용품
A04	0400	랩/호일	주방용품	가정용품
A04	0401	종이컵	행락용품	가정용품
A04	0402	일회용용기	행락용품	가정용품
A04	0403	젓가락/스푼	행락용품	가정용품
A04	0404	레져시트/기타	행락용품	가정용품
A04	0405	목욕타올	타올/욕실용품	가정용품
A04	0406	테이프류	청소/작업용품	가정용품
A04	0407	장갑류	청소/작업용품	가정용품
A04	0408	기타	청소/작업용품	가정용품
A04	0409	다이소균일가상품	다이소 균일가	가정용품
A04	0410	팬티스타킹	스타킹	언더웨어
A04	0411	판타롱스타킹	스타킹	언더웨어
A04	0412	풋커버/앵클삭스	스타킹	언더웨어
A04	0413	타이즈/레깅스	스타킹	언더웨어
A04	0414	남성양말	양말	언더웨어
A04	0415	여성양말	양말	언더웨어
A04	0416	상권특화(캐릭터양말)	양말	언더웨어
A04	0417	남성팬티	팬티/내의	언더웨어
A04	0418	여성팬티	팬티/내의	언더웨어
A04	0419	내의류	팬티/내의	언더웨어
A04	0420	손수건/타올	시즌/소품	언더웨어
A04	0421	계절용품	시즌/소품	언더웨어
A04	0422	기타	시즌/소품	언더웨어
A04	0423	일반선물세트	선물세트	언더웨어
A04	0424	소형	생리대	위생용품
A04	0425	중형	생리대	위생용품
A04	0426	대형	생리대	위생용품
A04	0427	팬티라이너	생리대	위생용품
A04	0428	탐폰	생리대	위생용품
A04	0429	4P	생리대	위생용품
A04	0430	박스티슈	티슈	위생용품
A04	0431	여행용티슈	티슈	위생용품
A04	0432	물티슈	티슈	위생용품
A04	0433	롤티슈	티슈	위생용품
A04	0434	유아용	기저귀	위생용품
A04	0435	렌즈용품	의약외품	약품/의료품
A04	0436	콘돔	의약외품	약품/의료품
A04	0437	밴드용품	의약외품	약품/의료품
A04	0438	응급위생용품	의약외품	약품/의료품
A04	0439	의약외품	의약외품	약품/의료품
A04	0440	마스크/시즌	의약외품	약품/의료품
A04	0441	마사지젤	의약외품	약품/의료품
A04	0442	병원용품	병원용품	약품/의료품
A04	0443	해열진통제	안전상비의약품	약품/의료품
A04	0444	소화제	안전상비의약품	약품/의료품
A04	0445	감기약	안전상비의약품	약품/의료품
A04	0446	파스	안전상비의약품	약품/의료품
A04	0447	임신배란테스트기	의료기기	약품/의료품
A04	0448	AA사이즈	건전지	일용잡화
A04	0449	AAA사이즈	건전지	일용잡화
A04	0450	기타사이즈	건전지	일용잡화
A04	0451	3단우산	우산	일용잡화
A04	0452	2단우산	우산	일용잡화
A04	0453	장우산	우산	일용잡화
A04	0454	일회용우산	우산	일용잡화
A04	0455	우비	우산	일용잡화
A04	0456	조명기구	전기/공구	일용잡화
A04	0457	배선기구	전기/공구	일용잡화
A04	0458	라이터	담배관련용품	일용잡화
A04	0459	소품	담배관련용품	일용잡화
A04	0460	금연보조용품	담배관련용품	일용잡화
A04	0461	카드	취미/애완용품	일용잡화
A04	0462	화투	취미/애완용품	일용잡화
A04	0463	카메라/필름	취미/애완용품	일용잡화
A04	0464	애완푸드	취미/애완용품	일용잡화
A04	0465	애완용품(직배)	취미/애완용품	일용잡화
A04	0466	CD	휴대폰/주변기기	일용잡화
A04	0467	메모리카드	휴대폰/주변기기	일용잡화
A04	0468	이어폰/이어셋	휴대폰/주변기기	일용잡화
A04	0469	스마트폰 액세서리(구전산소품)	휴대폰/주변기기	일용잡화
A04	0470	자동차용품	자동차용품	일용잡화
A04	0471	연필/샤프/샤프심	필기용품	문구/팬시
A04	0472	수성펜	필기용품	문구/팬시
A04	0473	유성펜	필기용품	문구/팬시
A04	0474	중성펜	필기용품	문구/팬시
A04	0475	형광펜	필기용품	문구/팬시
A04	0476	수정펜/지우개	필기용품	문구/팬시
A04	0477	후크형 필기구	필기용품	문구/팬시
A04	0478	자/풀	학용품	문구/팬시
A04	0479	칼/가위	학용품	문구/팬시
A04	0480	테이프	학용품	문구/팬시
A04	0481	일반사무용품	사무용품	문구/팬시
A04	0482	복사용지/라벨	사무용품	문구/팬시
A04	0483	접착제	사무용품	문구/팬시
A04	0484	사무정리용품	사무용품	문구/팬시
A04	0485	초등노트	노트/봉투	문구/팬시
A04	0486	일반노트	노트/봉투	문구/팬시
A04	0487	수첩메모	노트/봉투	문구/팬시
A04	0488	봉투류	노트/봉투	문구/팬시
A04	0489	노트류기타	노트/봉투	문구/팬시
A04	0490	축하카드	팬시	문구/팬시
A04	0491	쇼핑백/포장지	팬시	문구/팬시
A04	0492	팬시용품	팬시	문구/팬시
A04	0493	일반완구	아동완구	완구
A04	0494	캡슐완구	아동완구	완구
A04	0495	스티커	아동완구	완구
A04	0496	폭죽용품	폭죽/파티	완구
A04	0497	파티용품	폭죽/파티	완구
A04	0498	여름/겨울	계절완구	완구
A04	0499	행사상품	계절완구	완구
A04	0500	일반완구(직배)	특수점완구	완구
A04	0501	한강점포(직배)	특수점완구	완구
A04	0502	관광상품(직배)	특수점완구	완구
A04	0503	해변용품(직배)	특수점완구	완구
A04	0504	슬러피원액	판매용소모품	소모품
A04	0505	커피원액	판매용소모품	소모품
A04	0506	기타판매용소모품	판매용소모품	소모품
A04	0507	소모용포장지	소모용포장지	소모품
A04	0508	공병공박스	공병공박스	공병공박스
A04	0509	소주공병	주류공병	공병공박스
A04	0510	맥주공병	주류공병	공병공박스
A04	0511	봉투보증금	봉투보증금	기타
A03	0001	일반미	양곡	곡물
A03	0002	기능성미	양곡	곡물
A03	0003	즉석도정미	양곡	곡물
A03	0004	보리	잡곡	곡물
A03	0005	현미	잡곡	곡물
A03	0006	찹쌀	잡곡	곡물
A03	0007	흑미	잡곡	곡물
A03	0854	기타이미용가전	전기전자	생활잡화
A03	0514	냉장과일야채음료	냉장음료	낙농
A03	0515	냉장곡물견과음료	냉장음료	낙농
A03	0516	푸딩/젤리	냉장간식MS	MS
A03	0517	빵/케이크	냉장간식MS	MS
A03	0518	절임반찬	냉장기타MS	MS
A03	0519	김치류	냉장농산	냉장
A03	0520	조림반찬	냉장기타MS	MS
A03	0521	볶음반찬	냉장기타MS	MS
A02	0731	가정보수용품	보수용품	조명/보수
A02	0732	에너지절약용품	보수용품	조명/보수
A02	0733	접착제	보수용품	조명/보수
A02	0734	페인트	보수용품	조명/보수
A02	0735	포장/이사용품	보수용품	조명/보수
A02	0736	공구함	공구	조명/보수
A02	0737	수공구	공구	조명/보수
A02	0738	전동공구	공구	조명/보수
A02	0739	철물공구	공구	조명/보수
A02	0740	건전지	건전지	조명/보수
A02	0741	충전지	건전지	조명/보수
A02	0742	특수전지	건전지	조명/보수
A02	0743	냉동계육	닭고기	닭고기
A02	0744	오골계	닭고기	닭고기
A02	0745	훈제계육	닭고기	닭고기
A02	0746	국산굴비	굴비	굴비/반건생선
A02	0747	수입굴비	굴비	굴비/반건생선
A02	0748	과메기	반건생선	굴비/반건생선
A02	0749	기타반건생선	반건생선	굴비/반건생선
A02	0750	반건가자미	반건생선	굴비/반건생선
A02	0751	반건갈치	반건생선	굴비/반건생선
A02	0752	반건고등어	반건생선	굴비/반건생선
A02	0753	반건오징어	반건생선	굴비/반건생선
A02	0754	반건임연수어	반건생선	굴비/반건생선
A02	0755	반건제수생선	반건생선	굴비/반건생선
A02	0756	코다리	반건생선	굴비/반건생선
A02	0757	굴비세트	굴비/반건생선선물세트	굴비/반건생선
A02	0758	기타해초류	해초	해물연체류
A02	0759	다시마	해초	해물연체류
A02	0760	매생이	해초	해물연체류
A02	0761	미역	해초	해물연체류
A02	0762	톳	해초	해물연체류
A02	0763	파래	해초	해물연체류
A02	0764	포장해초류	해초	해물연체류
A02	0765	개조개	조개	해물연체류
A02	0766	골뱅이	조개	해물연체류
A02	0767	기타조개	조개	해물연체류
A02	0768	꼬막	조개	해물연체류
A02	0769	모시조개	조개	해물연체류
A02	0770	바지락	조개	해물연체류
A02	0771	생합	조개	해물연체류
A02	0772	석화	조개	해물연체류
A02	0773	소라	조개	해물연체류
A02	0774	전복	조개	해물연체류
A02	0775	키조개	조개	해물연체류
A02	0776	피홍합	조개	해물연체류
A02	0777	곤이	조개살	해물연체류
A02	0778	관자살	조개살	해물연체류
A02	0779	기타조개살	조개살	해물연체류
A02	0780	논우렁살	조개살	해물연체류
A02	0781	멍게	조개살	해물연체류
A02	0782	명태알	조개살	해물연체류
A02	0783	미더덕	조개살	해물연체류
A02	0784	바지락살	조개살	해물연체류
A02	0785	새우살	조개살	해물연체류
A02	0786	생굴	조개살	해물연체류
A02	0787	오만둥이	조개살	해물연체류
A02	0788	해삼	조개살	해물연체류
A02	0789	홍합살	조개살	해물연체류
A02	0790	갑오징어	연체	해물연체류
A02	0791	기타연체류	연체	해물연체류
A02	0792	낙지	연체	해물연체류
A02	0793	문어	연체	해물연체류
A02	0794	주꾸미	연체	해물연체류
A02	0795	해파리	연체	해물연체류
A02	0796	기타새우	새우	해물연체류
A02	0797	블랙타이거	새우	해물연체류
A02	0798	흰다리새우	새우	해물연체류
A02	0799	기타해물선물세트	해물선물세트	해물연체류
A02	0800	전복선물세트	해물선물세트	해물연체류
A02	0801	동해안건오징어	건오징어	마른안주
A02	0802	반건오징어	건오징어	마른안주
A02	0803	울릉도건오징어	건오징어	마른안주
A02	0804	원양산건오징어	건오징어	마른안주
A02	0805	백진미	조미오징어	마른안주
A02	0806	홍진미	조미오징어	마른안주
A02	0807	"훈제	구이진미"	조미오징어	마른안주
A02	0808	국산육포	육포	마른안주
A02	0809	"돈	닭	치즈육포"	육포	마른안주
A02	0810	수입산육포	육포	마른안주
A02	0811	구운쥐치포	쥐치포	마른안주
A02	0812	어포류	쥐치포	마른안주
A02	0813	쥐치포	쥐치포	마른안주
A02	0814	육포세트	마른안주선물세트	마른안주
A02	0815	국물용멸치	멸치	"멸치	황태	미역"
A02	0816	볶음용멸치	멸치	"멸치	황태	미역"
A02	0817	볶음조림용멸치	멸치	"멸치	황태	미역"
A02	0818	"새우	홍합"	멸치	"멸치	황태	미역"
A02	0819	국물팩	천연조미료	"멸치	황태	미역"
A02	0820	어간장	천연조미료	"멸치	황태	미역"
A02	0821	원물가루	천연조미료	"멸치	황태	미역"
A02	0822	황태채	황태	"멸치	황태	미역"
A02	0823	황태포	황태	"멸치	황태	미역"
A02	0824	다시마	미역/다시마	"멸치	황태	미역"
A02	0825	미역	미역/다시마	"멸치	황태	미역"
A02	0826	멸치세트	멸치황태미역선물세트	"멸치	황태	미역"
A02	0827	황태세트	멸치황태미역선물세트	"멸치	황태	미역"
A02	0828	김밥김	마른김	김
A02	0829	마른김	마른김	김
A02	0830	식탁김	조미김	김
A02	0831	외국인특화김	조미김	김
A02	0832	전장김	조미김	김
A02	0833	김가공품	김가공품	김
A02	0834	김자반	김가공품	김
A02	0835	부각	김가공품	김
A02	0836	김선물세트	김선물세트	김
A02	0837	한우곰거리	일반한우	한우
A02	0838	한우등심	일반한우	한우
A02	0839	한우안심	일반한우	한우
A02	0840	한우양지	일반한우	한우
A02	0841	한우정육	일반한우	한우
A02	0842	한우채끝	일반한우	한우
A02	0843	한우특수부위	일반한우	한우
A02	0844	한우규격	일반한우	한우
A02	0845	한우냉동선물세트	한우선물세트	한우
